emp_id,full_name,department,job_role,hire_date,term_date,monthly_income,age,gender,tenure_years,environment_satisfaction,job_involvement,job_satisfaction,relationship_satisfaction,work_life_balance
E-1438,  ivan OKAFOR ,engineering,QA Analyst,2026/05/09,N/A,"$6,878",41,Male,0.38,3,2,2,n/a,3
E-2426,  miguel NAKAMURA ,Sal3s,Sales Development Rep,25/02/2017,N/A,6304,29,Female,9.58,2,2,2,3,high
E-1184,  omar NAKAMURA ,Eng.,Software Engineer,2020-06-18,N/A,7134,56,Female,6.27,3,3,3,3,3
E-1475,Priya Weber,Eng.,QA Analyst,2020-09-06,NULL,-1,30,Male,6.05,2,3,2,2,2
E-2160,Nadia Andersson,Sales,Account Executive,29 Jun 2022,NULL,"7,045.00",29,Female,4.24,2,5,3,3,3
E-1205,James Lindgren,Engineering ,Software Engineer,2011/10/14,N/A,-1,55,Male,14.95,3,2,2,n/a,n/a
E-1789,JAMES O'Brien,Engineering ,Support Engineer,20 Apr 2020,N/A,7182,33,Male,6.43,3,2,2,2,2
E-1772,QUINN Nair,engineering,Support Engineer,2026-04-10,,6825,61,Female,0.46,3,3,3,2,2
E-1873,Sofia Nakamura,Engineering ,Engineering Lead,2020-05-20,2026-09-25,5660,28,Male,6.35,3,3,2,2,2
E-1065,  oscar GARCIA ,engineering,Software Engineer,25 Jun 2020,2026-09-25,5184,33,Male,6.25,2,6,2,2,3
E-1913,MIGUEL Haddad,engineering,Engineering Lead,2019-11-01,NULL,6327,31,Male,6.9,3,2,3,6,high
E-1913,MIGUEL HADDAD,engineering,Engineering Lead,2019-11-01,NULL,6327,31,Male,6.9,3,2,3,6,high
E-1179,Wei Novak,Eng.,Software Engineer,09/05/2014,NULL,"6,686.00",47,Female,12.38,3,2,3,3,3
E-1418,IGOR Ivanov,engineering,QA Analyst,04/03/2018,NULL,6071,51,Male,8.56,2,3,3,3,2
E-2341,Rosa Okafor,Sales,Account Executive,2022/08/27,N/A,"5,814.00",34,Male,4.08,3,n/a,3,3,2
E-1682,NOAH Novak,Engineering ,Data Engineer,14/02/2026,N/A,6792,29,Female,0.61,3,3,3,3,3
E-1490,  kenji SANTOS ,engineering,QA Analyst,14/06/2020,N/A,"7,313.00",35,Male,6.28,3,2,2,3,2
E-1333,ROSA Wei,Eng.,Software Engineer,28/09/2021,,"5,806.00",32,Male,4.99,3,2,3,3,3
E-1292,Okafor Rossi,Eng.,Software Engineer,2019/12/22,NULL,6623,43,Female,6.76,3,3,3,3,2
E-2417,  talia FARAH ,Sal3s,Sales Development Rep,2024/01/09,N/A,"$6,166",47,Female,2.71,3,3,3,3,3
E-1487,  paul OKAFOR ,Engineering ,QA Analyst,07/02/2024,N/A,6651,29,Female,2.63,3,2,3,3,3
E-1881,EMMA Silva,engineering,Engineering Lead,21/09/2022,,7287,26,Male,4.01,3,2,2,3,2
E-1429,  oscar KIM ,engineering,QA Analyst,19/08/2022,N/A,7011,21,Female,4.1,3,2,3,3,3
E-1658,  quinn FARAH ,Eng.,Data Engineer,31 May 2024,N/A,6519,57,Male,2.32,2,3,2,high,3
E-1277,  anna KIM ,engineering,Software Engineer,2020/04/06,N/A,"$6,402",39,Male,6.47,2,3,2,3,3
E-2499,Hana Kim,Sal3s,Sales Manager,2022/01/20,N/A,5551,35,Male,4.68,2,3,3,3,3
E-1604,  ivan WEI ,Engineering ,Data Engineer,19 Aug 2026,25/09/2026,5259,24,Male,0.1,3,2,3,2,2
E-1502,ZOE Smith,Engineering ,QA Analyst,2014-08-05,,6745,31,Male,12.14,2,3,3,3,3
E-2289,  ivan WEI ,Sales,Account Executive,30 Mar 2026,NULL,5941,30,Female,0.49,high,3,2,2,n/a
E-2246,NOAH Nair,Sal3s,Account Executive,2024/04/09,NULL,"6,625.00",54,Male,2.46,2,3,3,3,2
E-1823,Lara Kim,Engineering ,Support Engineer,10/09/2020,NULL,"$8,057",60,Male,6.04,3,3,n/a,3,3
E-1859,OKAFOR Weber,Eng.,Support Engineer,16/10/2016,,"$7,482",28,Female,9.94,3,3,2,2,medium
E-2155,  david GARCIA ,sales ,Account Executive,2017/07/28,,6242,36,Female,9.16,3,3,3,3,2
E-1450,Lucas O'Brien,Eng.,QA Analyst,31 May 2007,,"7,078.00",53,Male,19.32,2,3,6,2,3
E-2344,TALIA Kim,sales ,Account Executive,08/08/2020,N/A,"6,554.00",37,Female,6.13,2,3,3,3,3
E-2425,Maria Wei,Sales,Sales Development Rep,2022-05-27,N/A,"$5,798",49,Male,4.33,2,3,3,2,3
E-2414,LI Ivanov,Sal3s,Sales Development Rep,17/07/2024,,-1,35,Male,2.19,3,3,3,high,3
E-2302,  fatima SILVA ,sales ,Account Executive,2015-02-14,NULL,6440,59,Female,11.61,3,3,n/a,3,2
E-2322,Talia Silva,sales ,Account Executive,17/04/2014,NULL,5633,40,Female,12.44,2,3,3,3,3
