SubscriberID,FullName,Email,Region,Plan,SignupDate,RenewalDate,TenureDays,OnboardingScore,HasNegativeTicketPreRenewal,Cancelled,TotalOrders,TotalSpent,AvgOrderValue,NumSupportTickets,NumNegativeTickets,DaysBeforeRenewalLastNegativeTicket
S-10000,Jacob Duran,umckenzie@example.net,South,Monthly Plus,2025-01-12,2026-09-18,615,45.1,False,False,20,1076.69,53.83,4,1,
S-10001,Joshua Brooks,michael77@example.com,Midwest,Monthly Essentials,2025-11-16,2026-09-06,307,92.6,False,False,10,529.35,52.94,0,0,
S-10002,Andrew Mitchell,holmesvictoria@example.com,Midwest,Monthly Plus,2025-06-11,2026-09-06,465,86.7,True,False,13,681.13,52.39,1,1,73.0
S-10003,William Lewis,andrew48@example.net,West,Monthly Essentials,2025-10-30,2026-09-13,324,68.5,False,False,8,405.29,50.66,3,0,
S-10004,Tammy Moore,stevenseric@example.com,Northeast,Monthly Essentials,2025-02-15,2026-09-17,581,60.3,False,False,20,1035.26,51.76,3,0,
S-10005,Kevin Hall,christopher69@example.org,South,Monthly Essentials,2024-12-19,2026-08-26,639,57.8,False,False,20,1036.56,51.83,1,1,
S-10006,Misty Mcguire,tracynolan@example.net,South,Monthly Essentials,2026-03-10,2026-09-18,193,86.2,True,True,7,337.19,48.17,2,2,40.0
S-10007,Susan Larson,benjamin96@example.org,Midwest,Monthly Plus,2025-11-07,2026-09-08,316,100.0,True,True,10,543.36,54.34,2,1,81.0
S-10008,Tammy Cook,hbutler@example.org,West,Monthly Essentials,2026-02-13,2026-09-03,218,69.9,True,False,8,396.27,49.53,1,1,34.0
S-10009,Sarah Mcfarland,hbrown@example.org,Northeast,Monthly Essentials,2026-01-25,2026-09-17,237,71.6,True,True,5,216.07,43.21,1,1,86.0
S-10010,Karl Murphy,ericnunez@example.com,South,Monthly Plus,2025-01-27,2026-09-14,600,72.2,True,False,19,1010.33,53.18,4,1,24.0
S-10011,Nicole Johnston,walkerkeith@example.com,Midwest,Monthly Essentials,2025-04-07,2026-09-04,530,100.0,False,False,17,873.43,51.38,2,1,88.0
S-10012,George Alvarez,kelleyjose@example.com,West,Monthly Essentials,2025-11-30,2026-09-05,293,42.8,False,False,8,377.19,47.15,1,0,
S-10013,Patricia Anderson,timothygonzalez@example.com,South,Monthly Essentials,2025-10-07,2026-09-02,347,100.0,False,False,12,646.4,53.87,0,0,
S-10014,Christina Gilbert,johnadams@example.com,South,Quarterly Bundle,2025-07-18,2026-09-06,428,70.2,False,False,13,673.69,51.82,4,1,
S-10015,Thomas Davis,whenderson@example.org,West,Monthly Plus,2026-04-12,2026-08-31,160,82.6,True,False,4,238.88,59.72,2,1,71.0
S-10016,Kirk Johnson,gary59@example.com,Northeast,Monthly Essentials,2026-06-11,2026-09-08,100,69.0,True,False,4,230.91,57.73,1,1,80.0
S-10017,Jessica Glass,jamesbrooks@example.net,West,Monthly Plus,2025-01-14,2026-09-18,613,100.0,False,False,21,1035.21,49.3,1,0,
S-10018,Ashley Brown,mistywilkins@example.org,Midwest,Quarterly Bundle,2024-12-01,2026-08-30,657,77.8,False,False,21,1138.91,54.23,3,0,
S-10019,Robert Torres,njohnson@example.net,Northeast,Monthly Essentials,2025-01-19,2026-09-17,608,51.2,False,False,21,1167.06,55.57,2,1,
S-10020,Christina Mills,ana92@example.net,West,Monthly Essentials,2024-12-14,2026-09-16,644,71.3,True,True,19,987.53,51.98,7,1,52.0
S-10021,Alicia Aguilar,scottbrian@example.org,South,Monthly Plus,2025-05-04,2026-08-29,503,97.8,False,True,14,724.18,51.73,1,0,
S-10022,Lisa Brown,jonesdonna@example.net,Midwest,Quarterly Bundle,2026-05-21,2026-09-06,121,100.0,False,False,4,175.02,43.76,0,0,
S-10023,Mary Lin,carternicole@example.com,Northeast,Monthly Essentials,2024-10-20,2026-08-27,699,78.6,False,False,24,1245.73,51.91,3,0,
S-10024,James Bray,mckeetodd@example.net,Midwest,Monthly Essentials,2025-12-06,2026-09-13,287,66.9,False,False,10,523.06,52.31,1,0,
S-10025,Charlotte Mason,tcastro@example.org,Northeast,Monthly Essentials,2025-01-21,2026-08-25,606,82.0,False,False,18,942.48,52.36,2,1,
S-10026,Thomas Torres,klong@example.org,Midwest,Monthly Essentials,2026-08-13,2026-08-30,37,84.9,True,False,1,77.04,77.04,2,1,37.0
S-10027,Harold Garrett,wendyirwin@example.com,Northeast,Monthly Plus,2025-12-19,2026-09-09,274,57.5,True,False,8,474.75,59.34,1,1,34.0
